geo,time,value,unit
Serbia,2000,,kg per capita
Serbia,2001,,kg per capita
Serbia,2002,,kg per capita
Serbia,2003,,kg per capita
Serbia,2004,,kg per capita
Serbia,2005,,kg per capita
Serbia,2006,0,kg per capita
Serbia,2007,0,kg per capita
Serbia,2008,0,kg per capita
Serbia,2009,0,kg per capita
Serbia,2010,0,kg per capita
Serbia,2011,0,kg per capita
Serbia,2012,0,kg per capita
Serbia,2013,0,kg per capita
Serbia,2014,0,kg per capita
Serbia,2015,0,kg per capita
Serbia,2016,0,kg per capita
Serbia,2017,0,kg per capita
Serbia,2018,0,kg per capita
Serbia,2019,,kg per capita
Turkey,2000,4,kg per capita
Turkey,2001,3,kg per capita
Turkey,2002,6,kg per capita
Turkey,2003,5,kg per capita
Turkey,2004,5,kg per capita
Turkey,2005,5,kg per capita
Turkey,2006,4,kg per capita
Turkey,2007,5,kg per capita
Turkey,2008,4,kg per capita
Turkey,2009,4,kg per capita
Turkey,2010,3,kg per capita
Turkey,2011,4,kg per capita
Turkey,2012,2,kg per capita
Turkey,2013,2,kg per capita
Turkey,2014,2,kg per capita
Turkey,2015,2,kg per capita
Turkey,2016,2,kg per capita
Turkey,2017,2,kg per capita
Turkey,2018,2,kg per capita
Turkey,2019,2,kg per capita
Bosnia and Herzegovina,2000,,kg per capita
Bosnia and Herzegovina,2001,,kg per capita
Bosnia and Herzegovina,2002,,kg per capita
Bosnia and Herzegovina,2003,,kg per capita
Bosnia and Herzegovina,2004,,kg per capita
Bosnia and Herzegovina,2005,,kg per capita
Bosnia and Herzegovina,2006,,kg per capita
Bosnia and Herzegovina,2007,,kg per capita
Bosnia and Herzegovina,2008,0,kg per capita
Bosnia and Herzegovina,2009,0,kg per capita
Bosnia and Herzegovina,2010,0,kg per capita
Bosnia and Herzegovina,2011,0,kg per capita
Bosnia and Herzegovina,2012,0,kg per capita
Bosnia and Herzegovina,2013,0,kg per capita
Bosnia and Herzegovina,2014,0,kg per capita
Bosnia and Herzegovina,2015,0,kg per capita
Bosnia and Herzegovina,2016,0,kg per capita
Bosnia and Herzegovina,2017,0,kg per capita
Bosnia and Herzegovina,2018,,kg per capita
Bosnia and Herzegovina,2019,,kg per capita
